	topic_hash	records
52	Anatomy | Neurobiology	18
100	Biochemistry | Cell biology	18
970	RNA | Transcriptomics	18
599	Gene expression | Genetics	18
900	Oncology	17
167	Bioinformatics | Proteomics	16
565	Evolutionary biology | Genetics	16
655	Genetics | RNA	16
140	Bioengineering | Bioinformatics | Biology | Biotechnology | Chemistry | Computational biology | Environmental sciences | Genetics | Immunology | Infectious disease | Microbial ecology | Microbiology | Molecular biology | Public health and epidemiology | Structural biology | Zoology	16
545	Epigenetics | Genetics	16
658	Genetics | Reproductive health	16
909	Oncology | Transcriptomics	16
872	Neurobiology | Psychiatry	16
776	Infectious disease | Transcriptomics	16
119	Biochemistry | Molecular biology	16
937	Physiology	16
33	Anatomy | Biology	16
672	Genomics | Molecular biology	16
667	Genomics | Immunology	16
270	Cardiology	16
49	Anatomy | Microbiology	16
523	Environmental sciences	15
614	Gene expression | Transcriptomics	14
750	Immunology | Public health and epidemiology	14
605	Gene expression | Molecular biology	14
316	Cell biology | Gene expression	14
821	Microbial ecology | Microbiology	14
726	Human genetics | Public health and epidemiology	14
109	Biochemistry | Genetics	14
333	Cell biology | Proteomics	14
871	Neurobiology | Physiology	14
868	Neurobiology | Neurology	14
42	Anatomy | Evolutionary biology	14
161	Bioinformatics | Genomics	14
371	Computational biology | Neurobiology	14
795	Medicine | Microbiology	14
739	Immunology | Neurobiology	14
325	Cell biology | Molecular biology	14
584	Gastroenterology | Medicine	14
578	Gastroenterology | Genetics	14
563	Evolutionary biology	13
954	Psychiatry	13
727	Immunology	12
278	Cardiology | Genetics	12
17	Allergy, clinical immunology and immunotherapeutics | Immunology	12
205	Biology | Transcriptomics	12
223	Biomedical science | Cell biology	12
43	Anatomy | Genetics	12
627	Genetics | Geriatric medicine	12
547	Epigenetics | Genomics	12
227	Biomedical science | Genetics	12
442	Dermatology | Immunology	12
242	Biomedical science | Public health and epidemiology	12
837	Microbiology | Transcriptomics	12
556	Epigenetics | Transcriptomics	12
496	Ecology | Environmental sciences	12
393	DNA | Enzymes | Gene expression | Gene transcripts | Genetics | Informatics | Medicine | Nutritional science | Pharmacogenomics | Proteomics | RNA | Transcriptomics	12
283	Cardiology | Medicine	12
794	Medicine	11
495	Ecology	11
583	Gastroenterology | Immunology	10
397	DNA | Microbiology	10
668	Genomics | Infectious disease	10
679	Genomics | RNA	10
883	Neurology | Physiology	10
681	Genomics | Transcriptomics	10
632	Genetics | Infectious disease	10
799	Medicine | Neurology	10
961	Public health and epidemiology | Reproductive health	10
630	Genetics | Human genetics	10
801	Medicine | Oncology	10
248	Biomedical science | Transcriptomics	10
51	Anatomy | Musculoskeletal medicine	10
46	Anatomy | Immunology	10
694	Geriatric medicine | Psychiatry	10
989	Transcriptomics	10
257	Biotechnology | Cell biology	10
327	Cell biology | Oncology	10
514	Endocrinology and metabolism | Genetics	10
10	Agricultural science | Environmental sciences	10
652	Genetics | Proteomics	10
459	Developmental biology | Immunology	10
762	Immunology | Virology	10
659	Genetics | Respiratory medicine	10
654	Genetics | Public health and epidemiology	10
326	Cell biology | Neurobiology	10
111	Biochemistry | Immunology	10
179	Biology | Data acquisition | Data governance | Data integration and warehousing | Data management | Data mining | Data visualisation | NMR | Public health and epidemiology	9
854	Musculoskeletal medicine	9
708	Gynaecology and obstetrics | Reproductive health	8
78	Animal study | Microbiology	8
603	Gene expression | Infectious disease	8
939	Physiology | Public health and epidemiology	8
598	Gene expression	8
57	Anatomy | Physiology	8
498	Ecology | Microbiology	8
236	Biomedical science | Oncology	8
233	Biomedical science | Musculoskeletal medicine	8
740	Immunology | Neurology	8
707	Gynaecology and obstetrics | Public health and epidemiology	8
746	Immunology | Pharmacology	8
378	Computer science | Data mining	8
220	Biomedical science	8
118	Biochemistry | Microbiology	8
50	Anatomy | Molecular biology	8
691	Geriatric medicine | Nutritional science	8
450	Developmental biology	8
643	Genetics | Nutritional science	8
336	Cell biology | Reproductive health	8
476	Drug development | Immunology	8
965	Public health and epidemiology | Tropical medicine	8
641	Genetics | Neurobiology	8
314	Cell biology | Epigenetics	8
310	Cell biology | Dermatology	8
988	Toxicology | Transcriptomics	8
29	Anatomy	8
453	Developmental biology | Epigenetics	8
296	Cardiology | Preclinical and clinical studies	8
294	Cardiology | Pharmacology	8
354	Chemistry | Structural biology	8
290	Cardiology | Oncology	8
36	Anatomy | Cardiology	8
685	Geriatric medicine | Immunology	8
192	Biology | Microbiology	8
273	Cardiology | Critical care medicine	8
271	Cardiology | Cell biology	8
946	Preclinical and clinical studies | Public health and epidemiology	8
282	Cardiology | Immunology	8
230	Biomedical science | Immunology	8
797	Medicine | Musculoskeletal medicine	8
414	Data mining	8
153	Bioinformatics | Computational biology	8
152	Bioinformatics | Cell biology	8
557	Epigenomics | Genetics	8
796	Medicine | Molecular biology	8
90	Antimicrobial Resistance | Microbiology	8
828	Microbiology | Nutritional science	8
551	Epigenetics | Neurobiology	8
394	DNA | Epigenetics | Gene expression | Genetics | Genomics | Immunology | Molecular biology | Transcription factors and regulatory sites	8
163	Bioinformatics | Microbiology	8
861	Musculoskeletal medicine | Public health and epidemiology	8
860	Musculoskeletal medicine | Preclinical and clinical studies	8
187	Biology | Genomics	8
117	Biochemistry | Metabolomics	8
823	Microbiology	7
141	Bioengineering | Biology | Developmental biology | Infectious disease | Pathology | Public health and epidemiology | Virology	7
173	Biology	7
376	Computer science	7
878	Neurology	7
519	Endocrinology and metabolism | Physiology	6
266	Biotechnology | Regenerative medicine	6
893	Nutritional science | Paediatrics	6
289	Cardiology | Neurology	6
885	Neurology | Psychiatry	6
865	Musculoskeletal medicine | Trauma medicine	6
892	Nutritional science	6
701	Gynaecology and obstetrics | Medicine	6
687	Geriatric medicine | Medicine	6
365	Computational biology	6
441	Dermatology | Genetics	6
692	Geriatric medicine | Oncology	6
651	Genetics | Population genetics	6
281	Cardiology | Geriatric medicine	6
41	Anatomy | Developmental biology	6
123	Biochemistry | Oncology	6
689	Geriatric medicine | Neurobiology	6
275	Cardiology | Drug development	6
456	Developmental biology | Gene expression	6
99	Biochemistry | Biomedical science	6
332	Cell biology | Proteins	6
330	Cell biology | Physiology	6
974	Reproductive health | Transcriptomics	6
656	Genetics | Rare diseases	6
848	Molecular biology | Transcriptomics	6
324	Cell biology | Microbiology	6
482	Drug development | Oncology	6
845	Molecular biology | Proteomics	6
539	Environmental sciences | Transcriptomics	6
962	Public health and epidemiology | Respiratory medicine	6
313	Cell biology | Drug discovery	6
660	Genetics | Sequence analysis	6
844	Molecular biology | Physiology	6
640	Genetics | Musculoskeletal medicine	6
306	Cell biology	6
664	Genomics	6
303	Cardiology | Transcriptomics	6
550	Epigenetics | Molecular biology	6
458	Developmental biology | Genomics	6
164	Bioinformatics | Molecular biology	6
142	Bioengineering | Biomedical science	6
675	Genomics | Oncology	6
834	Microbiology | Proteomics	6
443	Dermatology | Microbiology	6
34	Anatomy | Biomarkers	6
511	Embryology | Transcriptomics	6
607	Gene expression | Oncology	6
864	Musculoskeletal medicine | Transcriptomics	6
748	Immunology | Preclinical and clinical studies	6
917	Pain medicine | Preclinical and clinical studies	6
239	Biomedical science | Physiology	6
733	Immunology | Microbial ecology	6
593	Gender medicine	6
235	Biomedical science | Neurology	6
64	Animal study | Bioinformatics | Embryology | Freshwater biology | Genetics | Molecular biology	6
434	Dentistry | Public health and epidemiology	6
228	Biomedical science | Genomics	6
243	Biomedical science | RNA	6
183	Biology | Environmental sciences	6
911	Paediatrics	6
743	Immunology | Paediatrics	6
745	Immunology | Pathology	6
749	Immunology | Proteomics	6
804	Medicine | Pharmacology	6
88	Antimicrobial Resistance | Infectious disease	6
451	Developmental biology | Embryology	6
73	Animal study | Genetics	6
61	Anatomy | Surgery	6
492	Drug metabolism | Pharmacology	6
387	Critical care medicine | Trauma medicine	6
779	Infectious disease | Virology	6
489	Drug discovery | Oncology	6
941	Physiology | Transcriptomics	6
907	Oncology | Surgery	6
79	Animal study | Neurobiology	6
195	Biology | Neurology	6
903	Oncology | Proteomics	6
895	Nutritional science | Physiology	6
902	Oncology | Pharmacology	6
206	Biomarkers | Cardiology	6
725	Human genetics | Psychiatry	6
199	Biology | Proteomics	6
382	Critical care medicine | Gynaecology and obstetrics | Medicine | Pathology | Public health and epidemiology | Respiratory medicine	6
172	Bioinformatics | Transcriptomics	6
75	Animal study | Immunology	6
816	Metagenomics	5
347	Chemistry	5
936	Physics	5
8	Agricultural science | DNA | Ecology | Plant biology | Transcriptomics	5
66	Animal study | Biology | Environmental sciences | Small molecules | Zoology	5
445	Dermatology | Oncology	4
381	Computer science | Psychiatry	4
531	Environmental sciences | Machine learning	4
590	Gastroenterology | Nutritional science	4
468	Developmental biology | Regenerative medicine	4
480	Drug development | Neurology	4
532	Environmental sciences | Metagenomics	4
516	Endocrinology and metabolism | Neurobiology	4
477	Drug development | Infectious disease | Psychiatry | Public health and epidemiology	4
500	Ecology | Plant biology	4
386	Critical care medicine | Respiratory medicine	4
455	Developmental biology | Gastroenterology	4
647	Genetics | Personalised medicine	4
530	Environmental sciences | Immunology	4
375	Computational biology | Transcriptomics	4
597	Gender medicine | Public health and epidemiology	4
575	Functional genomics | Microbiology	4
570	Evolutionary biology | Public health and epidemiology	4
615	Gene regulation | Genetics	4
373	Computational biology | Psychiatry	4
622	Genetic variation | Human genetics	4
487	Drug discovery | Immunology	4
399	Data acquisition | Microbiology	4
579	Gastroenterology | Genomics	4
649	Genetics | Physiology	4
566	Evolutionary biology | Human genetics	4
521	Endocrinology and metabolism | Reproductive health	4
454	Developmental biology | Epigenomics	4
440	Dermatology | Gene expression	4
436	Dentistry | Transcriptomics	4
357	Comparative genomics | Microbiology	4
572	Functional genomics | Genetics	4
558	Epigenomics | Genetics | Genomics | Human genetics	4
524	Environmental sciences | Epigenetics	4
497	Ecology | Evolutionary biology	4
431	Dentistry | Microbiology	4
430	Dentistry | Medicine	4
528	Environmental sciences | Gene expression	4
483	Drug development | Pharmacology	4
350	Chemistry | Molecular biology	4
419	Data submission, annotation, and curation | Genomics	4
548	Epigenetics | Immunology	4
623	Genetic variation | Immunology	4
231	Biomedical science | Medicine	4
650	Genetics | Plant biology	4
814	Metabolomics | Microbiology	4
80	Animal study | Neurology	4
906	Oncology | RNA	4
86	Animal study | Zoology	4
96	Biobank | RNA | Sample collections | Transcriptomics	4
889	Neurology | Surgery	4
887	Neurology | Regenerative medicine	4
882	Neurology | Pharmacology	4
104	Biochemistry | Drug discovery	4
105	Biochemistry | Endocrinology and metabolism	4
881	Neurology | Pathology	4
107	Biochemistry | Enzymes	4
876	Neurobiology | Transcriptomics	4
122	Biochemistry | Nutritional science	4
859	Musculoskeletal medicine | Physiology	4
858	Musculoskeletal medicine | Pharmacology	4
133	Biodiversity | Ecology	4
134	Biodiversity | Ecology | Environmental sciences | Zoology	4
135	Biodiversity | Environmental sciences	4
842	Molecular biology | Oncology	4
835	Microbiology | Respiratory medicine	4
832	Microbiology | Parasitology	4
830	Microbiology | Oncology	4
819	Metagenomics | Nutritional science	4
151	Bioinformatics	4
339	Cell biology | Toxicology	4
77	Animal study | Medicine	4
74	Animal study | Genomics	4
71	Animal study | Ecology	4
24	Anaesthesiology | Surgery	4
994	Transcriptomics | Zoology	4
993	Transcriptomics | Virology	4
986	Taxonomy | Transcriptomics	4
983	Surgery | Trauma medicine	4
11	Agricultural science | Microbiology	4
12	Agricultural science | Nutritional science	4
13	Agricultural science | Public health and epidemiology	4
976	Respiratory medicine | Surgery	4
968	Public health and epidemiology | Zoology	4
22	Anaesthesiology | Pain medicine	4
967	Public health and epidemiology | Workflows	4
959	Public health and epidemiology | Quality affairs	4
924	Pathology | Transcriptomics	4
31	Anatomy | Biochemistry	4
950	Preclinical and clinical studies | Urology and nephrology	4
40	Anatomy | Dentistry	4
948	Preclinical and clinical studies | Respiratory medicine	4
53	Anatomy | Neurology	4
938	Physiology | Psychiatry	4
60	Anatomy | Respiratory medicine	4
932	Pharmacology | Toxicology	4
929	Pharmacology | Psychiatry	4
68	Animal study | Cardiology	4
69	Animal study | DNA | Gene expression | Genetics	4
817	Metagenomics | Microbial ecology	4
154	Bioinformatics | DNA | Gene expression | Oncology	4
812	Medicine | Urology and nephrology	4
717	Hepatic and biliary medicine | Immunology	4
166	Bioinformatics | Neurobiology	4
710	Gynaecology and obstetrics | Transcriptomics	4
706	Gynaecology and obstetrics | Psychiatry	4
702	Gynaecology and obstetrics | Nutritional science	4
697	Geriatric medicine | Transcriptomics	4
696	Geriatric medicine | Surgery	4
693	Geriatric medicine | Physiology	4
267	Carbohydrates | Nutritional science	4
690	Geriatric medicine | Neurology	4
274	Cardiology | Developmental biology	4
277	Cardiology | Epigenomics	4
279	Cardiology | Genetics | Human genetics | Physiology	4
688	Geriatric medicine | Musculoskeletal medicine	4
286	Cardiology | Molecular biology	4
683	Geriatric medicine	4
680	Genomics | Toxicology	4
678	Genomics | Preclinical and clinical studies	4
301	Cardiology | Regenerative medicine	4
307	Cell biology | Computational biology	4
663	Genetics | Zoology	4
315	Cell biology | Gastroenterology	4
319	Cell biology | Gynaecology and obstetrics	4
322	Cell biology | Infectious disease	4
337	Cell biology | Respiratory medicine	4
338	Cell biology | Taxonomy	4
715	Haematology | Trauma medicine	4
713	Haematology | Oncology	4
720	Human genetics	4
766	Infectious disease | Medicine	4
798	Medicine | Neurobiology	4
174	Biology | Biomarkers	4
181	Biology | Developmental biology	4
791	Medical informatics | Public health and epidemiology	4
788	Medical informatics | Medicine	4
190	Biology | Medicine	4
193	Biology | Molecular biology	4
249	Biomedical science | Urology and nephrology	4
771	Infectious disease | Pathology	4
198	Biology | Physiology	4
758	Immunology | Translational medicine	4
212	Biomarkers | Oncology	4
722	Human genetics | Medicine	4
222	Biomedical science | Cardiology	4
221	Biomedical science | Biotechnology	4
754	Immunology | Structural biology	4
755	Immunology | Toxicology	4
461	Developmental biology | Molecular biology	4
756	Immunology | Transcription factors and regulatory sites	4
209	Biomarkers | Immunology	4
973	Reproductive health	3
546	Epigenetics | Genetics | Genomics	3
768	Infectious disease | Microbial ecology | Microbiology	3
982	Surgery	3
785	Machine learning	3
790	Medical informatics | Proteins | Proteomics	3
774	Infectious disease | Public health and epidemiology | Veterinary medicine	3
987	Toxicology	3
944	Preclinical and clinical studies	3
585	Gastroenterology | Medicine | Preclinical and clinical studies	3
980	Structural biology	3
998	Zoology	3
359	Complementary medicine | Neurology | Nutritional science	3
98	Biochemistry	3
160	Bioinformatics | Genetics | Genomics	3
16	Allergy, clinical immunology and immunotherapeutics | Dermatology | Immunology	3
196	Biology | Oncology | RNA	3
395	DNA | Gastroenterology | Immunology	3
287	Cardiology | Molecular genetics | Pathology	3
421	Data submission, annotation, and curation | Laboratory information management | Workflows	3
426	Dentistry	3
201	Biology | Public health and epidemiology | Surgery	3
72	Animal study | Gender medicine | Zoology	3
412	Data management	3
813	Metabolic engineering | Metabolomics	2
156	Bioinformatics | Environmental sciences	2
157	Bioinformatics | Epigenetics	2
815	Metabolomics | Nutritional science	2
150	Bioengineering | Regenerative medicine	2
820	Metagenomics | RNA	2
158	Bioinformatics | Gene expression	2
149	Bioengineering | Nutritional science	2
155	Bioinformatics | Developmental biology	2
811	Medicine | Surgery	2
148	Bioengineering | Genetics	2
810	Medicine | Safety sciences	2
809	Medicine | Respiratory medicine	2
162	Bioinformatics | Metagenomics	2
807	Medicine | Psychiatry	2
806	Medicine | Preclinical and clinical studies	2
805	Medicine | Population genomics	2
165	Bioinformatics | Musculoskeletal medicine	2
803	Medicine | Pathology	2
802	Medicine | Paediatrics	2
168	Bioinformatics | RNA	2
800	Medicine | Nutritional science	2
169	Bioinformatics | Sequence analysis	2
822	Microbial ecology | Plant biology	2
462	Developmental biology | Molecular genetics	2
147	Bioengineering | Environmental sciences	2
137	Biodiversity | Plant biology	2
856	Musculoskeletal medicine | Oncology	2
855	Musculoskeletal medicine | Neurology	2
129	Biochemistry | Transcription factors and regulatory sites	2
853	Multiomics | Transcriptomics	2
852	Mouse clinic | Transcriptomics	2
851	Molecular interactions, pathways and networks | Public health and epidemiology	2
850	Molecular genetics | Neurobiology	2
849	Molecular dynamics | Structural biology	2
130	Biochemistry | Urology and nephrology	2
847	Molecular biology | Sequence analysis	2
846	Molecular biology | Reproductive health	2
131	Biochemistry | Virology	2
136	Biodiversity | Immunology	2
843	Molecular biology | Pharmacology	2
841	Molecular biology | Neurobiology	2
171	Bioinformatics | Systems biology	2
840	Molecular biology | Molecular genetics	2
838	Microbiology | Virology	2
138	Biodiversity | Zoology	2
836	Microbiology | Toxicology	2
143	Bioengineering | Biotechnology	2
833	Microbiology | Pathology	2
144	Bioengineering | Data mining	2
831	Microbiology | Paediatrics	2
145	Bioengineering | Dermatology	2
829	Microbiology | Omics	2
146	Bioengineering | Developmental biology	2
827	Microbiology | Neurology	2
826	Microbiology | Musculoskeletal medicine	2
825	Microbiology | Multiomics	2
170	Bioinformatics | Structural biology	2
793	Medicinal chemistry | Pharmacology	2
175	Biology | Cardiology	2
177	Biology | Complementary medicine	2
208	Biomarkers | Genomics	2
210	Biomarkers | Medicine	2
211	Biomarkers | Neurology	2
213	Biomarkers | Public health and epidemiology	2
214	Biomarkers | Reproductive health	2
215	Biomarkers | Transcriptomics	2
752	Immunology | Reproductive health	2
751	Immunology | RNA	2
217	Biomaterials | Biomedical science	2
218	Biomaterials | Cell biology	2
747	Immunology | Physiology	2
219	Biomaterials | Immunology	2
224	Biomedical science | Computational biology	2
744	Immunology | Parasitology	2
225	Biomedical science | Developmental biology	2
226	Biomedical science | Gastroenterology	2
741	Immunology | Nutritional science	2
229	Biomedical science | Hepatic and biliary medicine	2
232	Biomedical science | Microbiology	2
738	Immunology | Musculoskeletal medicine	2
737	Immunology | Mouse clinic	2
736	Immunology | Molecular genetics	2
234	Biomedical science | Neurobiology	2
237	Biomedical science | Pathology	2
238	Biomedical science | Physics	2
732	Immunology | Metabolomics	2
464	Developmental biology | Paediatrics	2
730	Immunology | Medical biotechnology	2
729	Immunology | Lipids	2
759	Immunology | Trauma medicine	2
760	Immunology | Tropical medicine	2
207	Biomarkers | Genetics	2
191	Biology | Metabolomics	2
178	Biology | Computational biology	2
128	Biochemistry | Toxicology	2
792	Medical toxicology | Microbiology	2
182	Biology | Ecology	2
184	Biology | Gastroenterology	2
789	Medical informatics | Pharmacovigilance	2
185	Biology | Gene expression	2
786	Machine learning | Public health and epidemiology	2
188	Biology | Human genetics	2
784	Lipids | Nutritional science	2
783	Laboratory animal science | Public health and epidemiology	2
782	Laboratory animal science | Psychiatry	2
781	Informatics | Public health and epidemiology	2
778	Infectious disease | Veterinary medicine	2
204	Biology | Toxicology	2
777	Infectious disease | Vaccinology	2
194	Biology | Neurobiology	2
775	Infectious disease | RNA	2
197	Biology | Pharmacology	2
772	Infectious disease | Pharmacology	2
200	Biology | Psychiatry	2
770	Infectious disease | Paediatrics	2
202	Biology | RNA	2
767	Infectious disease | Metagenomics	2
203	Biology | Reproductive health	2
765	Infectious disease | Medical informatics	2
764	Infectious disease	2
763	Immunology | Zoology	2
857	Musculoskeletal medicine | Paediatrics	2
862	Musculoskeletal medicine | Reproductive health	2
126	Biochemistry | Proteins	2
47	Anatomy | Medical informatics	2
957	Psychiatry | Zoology	2
956	Psychiatry | Workflows	2
32	Anatomy | Bioinformatics	2
38	Anatomy | Comparative genomics	2
953	Proteomics | Reproductive health	2
952	Proteomics	2
951	Proteins | Systems medicine	2
39	Anatomy | Computational biology	2
949	Preclinical and clinical studies | Trauma medicine	2
44	Anatomy | Genomics	2
947	Preclinical and clinical studies | Quality affairs	2
45	Anatomy | Gynaecology and obstetrics	2
945	Preclinical and clinical studies | Psychiatry	2
54	Anatomy | Paleogenomics	2
28	Analytical chemistry | Molecular biology	2
942	Population genetics	2
55	Anatomy | Personalised medicine	2
940	Physiology | Reproductive health	2
56	Anatomy | Physics	2
58	Anatomy | Proteomics	2
59	Anatomy | Reproductive health	2
62	Anatomy | Trauma medicine	2
935	Phylogenetics | Zoology	2
934	Pharmacology | Urology and nephrology	2
933	Pharmacology | Tropical medicine	2
63	Animal study	2
931	Pharmacology | Respiratory medicine	2
930	Pharmacology | Public health and epidemiology	2
30	Anatomy | Animal study	2
960	Public health and epidemiology | Rare diseases	2
67	Animal study | Biomaterials	2
979	Sample collections | Transcriptomics	2
2	Acoustics | Neurology	2
3	Acoustics | Paediatrics	2
992	Transcriptomics | Urology and nephrology	2
991	Transcriptomics | Tropical medicine	2
990	Transcriptomics | Trauma medicine	2
4	Acoustics | Pain medicine	2
5	Acoustics | Population genetics	2
7	Agricultural science | Biochemistry	2
984	Surgery | Zoology	2
9	Agricultural science | Ecology	2
14	Agricultural science | Virology	2
981	Structural biology | Virology	2
15	Agricultural science | Zoology	2
977	Ribosome Profiling | Transcriptomics	2
27	Analytical chemistry | Metabolomics	2
975	Respiratory medicine	2
18	Allergy, clinical immunology and immunotherapeutics | Pharmacology	2
19	Anaesthesiology | Anatomy	2
971	RNA | Virology	2
20	Anaesthesiology | Musculoskeletal medicine	2
969	Quality affairs | Reproductive health	2
21	Anaesthesiology | Neurology	2
23	Anaesthesiology | Quality affairs	2
966	Public health and epidemiology | Vaccinology	2
25	Analytical chemistry | Chemistry	2
964	Public health and epidemiology | Trauma medicine	2
963	Public health and epidemiology | Toxicology	2
26	Analytical chemistry | Environmental sciences	2
65	Animal study | Biology	2
926	Pharmacogenomics | Pharmacology	2
125	Biochemistry | Physiology	2
110	Biochemistry | Geriatric medicine	2
890	Neurology | Transcriptomics	2
97	Biobank | Transcriptomics	2
888	Neurology | Structural biology	2
886	Neurology | Public health and epidemiology	2
101	Biochemistry | Chemistry	2
884	Neurology | Preclinical and clinical studies	2
102	Biochemistry | Computational biology	2
103	Biochemistry | Drug development	2
106	Biochemistry | Environmental sciences	2
880	Neurology | Pain medicine	2
879	Neurology | Oncology	2
108	Biochemistry | Gastroenterology	2
877	Neurobiology | Trauma medicine	2
875	Neurobiology | Structural biology	2
95	Biobank | Genomics	2
874	Neurobiology | Reproductive health	2
873	Neurobiology | Regenerative medicine	2
112	Biochemistry | Laboratory animal science	2
113	Biochemistry | Marine biology	2
870	Neurobiology | Pharmacology	2
869	Neurobiology | Pain medicine	2
114	Biochemistry | Medicinal chemistry	2
115	Biochemistry | Medicine	2
116	Biochemistry | Metabolic engineering	2
120	Biochemistry | Musculoskeletal medicine	2
121	Biochemistry | Neurology	2
244	Biomedical science | Regenerative medicine	2
124	Biochemistry | Pharmacology	2
891	Neurology | Urology and nephrology	2
94	Biobank | Genetics	2
925	Personalised medicine | Public health and epidemiology	2
81	Animal study | Nutritional science	2
70	Animal study | Developmental biology	2
923	Pathology | Regenerative medicine	2
922	Pathology | Pharmacology	2
921	Pathology	2
920	Parasitology | Transcriptomics	2
919	Pain medicine | Surgery	2
918	Pain medicine | Public health and epidemiology	2
916	Pain medicine | Pharmacology	2
914	Paediatrics | Regenerative medicine	2
913	Paediatrics | Public health and epidemiology	2
912	Paediatrics | Psychiatry	2
76	Animal study | Infectious disease	2
910	Oncology | Zoology	2
908	Oncology | Transcription factors and regulatory sites	2
894	Nutritional science | Pharmacology	2
82	Animal study | Oncology	2
83	Animal study | Pharmacology	2
84	Animal study | Physiology	2
904	Oncology | Psychiatry	2
85	Animal study | Proteomics	2
87	Antimicrobial Resistance | Genetics	2
901	Oncology | Pathology	2
89	Antimicrobial Resistance | Metagenomics	2
91	Antimicrobial Resistance | Pharmacology	2
898	Nutritional science | Psychiatry	2
897	Nutritional science | Proteins	2
896	Nutritional science | Preclinical and clinical studies	2
93	Biobank | Biomedical science	2
241	Biomedical science | Psychiatry	2
240	Biomedical science | Plant biology	2
245	Biomedical science | Respiratory medicine	2
406	Data governance | Informatics	2
400	Data acquisition | Physiology	2
564	Evolutionary biology | Gastroenterology	2
402	Data architecture, analysis and design | Genomics	2
562	Epigenomics | Transcriptomics	2
561	Epigenomics | RNA	2
560	Epigenomics | Neurobiology	2
559	Epigenomics | Immunology	2
403	Data architecture, analysis and design | Musculoskeletal medicine	2
404	Data architecture, analysis and design | Public health and epidemiology	2
555	Epigenetics | Toxicology	2
554	Epigenetics | Public health and epidemiology	2
553	Epigenetics | Plant biology	2
552	Epigenetics | Oncology	2
407	Data integration and warehousing	2
